market_id,market_question,event_question,series_title,series_category,market_result,volume_fp,outcome,probability_field,horizon_days,forecast_date_utc,days_before_close,forecast_probability,squared_error,absolute_error,forecast_correct,volume_rank,lifetime_days,observed_days
kalshi:KX14AMENDCASE-26-AUG,Will Trump's birthright citizenship order come into effect?,Will Trump's birthright citizenship order come into effect?,Trump birthright citizenship case,Politics,no,1591535.68,0,price_mean,1,2026-06-29 00:00:00+00:00,1,0.0624,0.0038937599999999996,0.0624,True,46,206.6931365740741,207
kalshi:KXALIENS-27-JUL26,Will the U.S. confirm that aliens exist before July 2026,Will the U.S. confirm that aliens exist?,Aliens,Science and Technology,no,3153286.89,0,price_mean,1,2026-06-30 00:00:00+00:00,1,0.01,0.0001,0.01,True,24,49.75,50
kalshi:KXCAGOVPRIMARY1ST-26JUN02-1ST-SHIL,Will Steve Hilton finish 1st in the 2026 California Governor primary election?,California Governor primary: 1st place,Who will finish first in the California Governor primary?,Elections,no,7097451.77,0,price_mean,1,2026-07-10 00:00:00+00:00,1,0.0023,5.29e-06,0.0023,True,16,156.0485300925926,155
kalshi:KXCAGOVPRIMARY1ST-26JUN02-1ST-XBEC,Will Xavier Becerra finish 1st in the 2026 California Governor primary election?,California Governor primary: 1st place,Who will finish first in the California Governor primary?,Elections,yes,2130203.52,1,price_mean,1,2026-07-10 00:00:00+00:00,1,0.9987,1.6899999999999165e-06,0.0012999999999999678,True,34,156.0485300925926,122
kalshi:KXCOLOMBIAPRES-26-AESP,Will Abelardo de la Espriella win the next Colombian presidential election?,Who will win the next Colombian presidential election?,Colombia presidency,Elections,yes,1486022.39,1,price_mean,1,2026-06-23 00:00:00+00:00,1,0.9784,0.00046655999999999797,0.021599999999999953,True,49,282.1247337962963,282
kalshi:KXCOLOMBIAPRES-26-ICAS,Will Iván Cepeda Castro win the next Colombian presidential election?,Who will win the next Colombian presidential election?,Colombia presidency,Elections,no,1692402.61,0,price_mean,1,2026-06-23 00:00:00+00:00,1,0.0199,0.00039601,0.0199,True,39,282.1247337962963,282
kalshi:KXEVENTOCCURCLTR-27-JAN01,Will Taylor Swift get married at MSG this year?,Taylor Swift: Married at Madison Square Garden in 2026?,will event occur?,Entertainment,yes,1755812.35,1,price_mean,1,2026-07-03 00:00:00+00:00,1,0.7117,0.08311689,0.2883,True,38,28.03712962962963,28
kalshi:KXFEDDECISION-26JUL-C25,Will the Federal Reserve Cut rates by 25bps at their July 2026 meeting?,Fed decision in July?,Fed meeting,Economics,no,7276758.07,0,price_mean,1,2026-07-28 00:00:00+00:00,1,0.01,0.0001,0.01,True,13,303.1659722222222,293
kalshi:KXFEDDECISION-26JUL-C26,Will the Federal Reserve Cut rates by >25bps at their July 2026 meeting?,Fed decision in July?,Fed meeting,Economics,no,2330631.58,0,price_mean,1,2026-07-28 00:00:00+00:00,1,0.01,0.0001,0.01,True,31,303.1659722222222,284
kalshi:KXFEDDECISION-26JUL-H0,Will the Federal Reserve Hike rates by 0bps at their July 2026 meeting?,Fed decision in July?,Fed meeting,Economics,yes,23802367.03,1,price_mean,1,2026-07-28 00:00:00+00:00,1,0.7377,0.06880128999999999,0.2623,True,2,303.1659722222222,293
kalshi:KXFEDDECISION-26JUL-H25,Will the Federal Reserve Hike rates by 25bps at their July 2026 meeting?,Fed decision in July?,Fed meeting,Economics,no,19713687.51,0,price_mean,1,2026-07-28 00:00:00+00:00,1,0.2644,0.06990736000000002,0.2644,True,4,303.1659722222222,284
kalshi:KXFEDDECISION-26JUL-H26,Will the Federal Reserve Hike rates by >25bps at their July 2026 meeting?,Fed decision in July?,Fed meeting,Economics,no,15632302.75,0,price_mean,1,2026-07-28 00:00:00+00:00,1,0.01,0.0001,0.01,True,5,303.1659722222222,268
kalshi:KXGOVFLNOMR-26-BD,Will Byron Donalds be the Republican nominee for Governor in Florida?,Florida Republican Governor nominee?,Florida Governor Republican nominee,Elections,yes,10760634.15,1,price_mean,1,2026-08-18 00:00:00+00:00,1,0.9877,0.00015128999999999945,0.012299999999999978,True,7,579.2553356481482,561
kalshi:KXGOVFLNOMR-26-JCOL,Will Jay Collins be the Republican nominee for Governor in Florida?,Florida Republican Governor nominee?,Florida Governor Republican nominee,Elections,no,10496583.01,0,price_mean,1,2026-08-18 00:00:00+00:00,1,0.003,9e-06,0.003,True,8,333.4218402777778,333
kalshi:KXGOVFLNOMR-26-JFIS,Will James Fishback be the Republican nominee for Governor in Florida?,Florida Republican Governor nominee?,Florida Governor Republican nominee,Elections,no,44726603.31,0,price_mean,1,2026-08-18 00:00:00+00:00,1,0.0109,0.00011881,0.0109,True,1,281.00533564814816,281
kalshi:KXGOVFLNOMR-26-PREN,Will Paul Renner be the Republican nominee for Governor in Florida?,Florida Republican Governor nominee?,Florida Governor Republican nominee,Elections,no,2984895.68,0,price_mean,1,2026-08-18 00:00:00+00:00,1,0.001,1e-06,0.001,True,27,190.25533564814816,162
kalshi:KXGOVWINOMD-26-DCRO,Will David Crowley be the Democratic nominee for Governor in Wisconsin?,Wisconsin Democratic Governor nominee?,Gov WI Nom D,Elections,yes,7116046.89,1,price_mean,1,2026-08-11 00:00:00+00:00,1,0.0457,0.9106884900000001,0.9543,False,15,308.88759259259257,301
kalshi:KXGOVWINOMD-26-FHON,Will Francesca Hong be the Democratic nominee for Governor in Wisconsin?,Wisconsin Democratic Governor nominee?,Gov WI Nom D,Elections,no,7274077.96,0,price_mean,1,2026-08-11 00:00:00+00:00,1,0.9549,0.91183401,0.9549,False,14,308.88721064814814,308
kalshi:KXHORMUZNORM-26MAR17-B260701,"Will the 7-day moving average of transit calls through the Strait of Hormuz as reported by the IMF PortWatch be above 60 before July 1, 2026?",When will traffic at the Strait of Hormuz return to normal?,When will traffic at the Strait of Hormuz return to normal?,Politics,no,8832948.43,0,price_mean,1,2026-07-06 00:00:00+00:00,1,0.0017,2.89e-06,0.0017,True,11,111.99930555555557,112
kalshi:KXHORMUZNORM-26MAR17-B260715,"Will the 7-day moving average of transit calls through the Strait of Hormuz as reported by the IMF PortWatch be above 60 before July 15, 2026?",When will traffic at the Strait of Hormuz return to normal?,When will traffic at the Strait of Hormuz return to normal?,Politics,no,2178374.78,0,price_mean,1,2026-07-20 00:00:00+00:00,1,0.01,0.0001,0.01,True,33,35.97847222222222,36
