market_id,market_ticker,event_ticker,series_ticker,market_question,market_subtitle,yes_subtitle,no_subtitle,market_rules,event_question,event_subtitle,series_title,series_category,series_frequency,market_status,market_result,open_time,close_time,passes_volume_filter,passes_lifetime_filter,passes_both_filters,volume_fp,lifetime_days,history_start_ts,history_end_ts,expected_daily_rows,received_daily_rows,first_observation_ts,last_observation_ts,download_status,actual_candles_exported
kalshi:BTCATH-24-DEC31-73265.12,BTCATH-24-DEC31-73265.12,BTCATH-24,KXBTCATH,How {{high_low}} will Bitcoin get this year?,This year,This year,This year,"If the price of Bitcoin is above 73265.12 by Dec 31, 2024, then the market resolves to Yes.",When will Bitcoin hit a new all-time high?,All-time high,BTC ATH,Crypto,one_off,finalized,yes,2024-04-10T12:00:00Z,,1,1,1,73664.0,211.20525462962962,1712750400,1730998534,213,201,1712808000,1730955600,success,201
kalshi:BTCMAX100-24-DEC31-100000,BTCMAX100-24-DEC31-100000,BTCMAX100-24,KXBTCMAX100,When will Bitcoin hit $100k?,Before Dec 31st at 7pm ET,Before Dec 31st at 7pm ET,Not Before January,"If the price of Bitcoin is Above 99999.99 by Dec 31, 2024 at 7:00 PM ET, then the market resolves to Yes.",When will Bitcoin hit $100k?,In 2024,When will bitcoin hit 100k?,Crypto,annual,finalized,yes,2024-03-18T12:00:00Z,,1,1,1,1230309.0,261.64266203703704,1710763200,1733369126,263,234,1710820800,1733288400,success,234
kalshi:BTCMAX100-24-JUL31-100000,BTCMAX100-24-JUL31-100000,BTCMAX100-24,KXBTCMAX100,When will Bitcoin hit $100k?,Before August,Before August,Not Before August,"If the price of Bitcoin is Above 99999.99 by Jul 31, 2024 at 7:00 PM ET, then the market resolves to Yes.",When will Bitcoin hit $100k?,In 2024,When will bitcoin hit 100k?,Crypto,annual,finalized,no,2024-03-18T12:00:00Z,2024-07-31T23:00:00Z,1,1,1,18646.0,135.45833333333334,1710763200,1722466800,137,108,1710820800,1721707200,success,108
kalshi:BTCMAX100-24-JUN28-100000,BTCMAX100-24-JUN28-100000,BTCMAX100-24,KXBTCMAX100,When will Bitcoin hit $100k?,Before July:: Last day: 06/28/2024 7pm,Before July,Not Before July,"If the price of Bitcoin is Above 99999.99 by Jun 28, 2024 at 7:00 PM ET, then the market resolves to Yes.",When will Bitcoin hit $100k?,In 2024,When will bitcoin hit 100k?,Crypto,annual,finalized,no,2024-03-18T12:00:00Z,2024-06-28T23:00:00Z,1,1,1,23929.0,102.45833333333333,1710763200,1719615600,104,79,1710820800,1719547200,success,79
kalshi:BTCMAX100-24-MAY31-100000,BTCMAX100-24-MAY31-100000,BTCMAX100-24,KXBTCMAX100,When will Bitcoin hit $100k?,Before June,Before June,Not Before June,"If the price of Bitcoin is Above 99999.99 by May 31, 2024 at 7:00 PM ET, then the market resolves to Yes.",When will Bitcoin hit $100k?,In 2024,When will bitcoin hit 100k?,Crypto,annual,finalized,no,2024-03-18T12:00:00Z,2024-05-31T23:00:00Z,1,1,1,53075.0,74.45833333333333,1710763200,1717196400,76,55,1710820800,1717128000,success,55
kalshi:BTCMAX100-24-NOV29-100000,BTCMAX100-24-NOV29-100000,BTCMAX100-24,KXBTCMAX100,When will Bitcoin hit $100k?,Before Nov 29th at 7pm ET,Before Nov 29th at 7pm ET,Not Before December,"If the price of Bitcoin is Above 99999.99 by Nov 29, 2024 at 7:00 PM ET, then the market resolves to Yes.",When will Bitcoin hit $100k?,In 2024,When will bitcoin hit 100k?,Crypto,annual,finalized,no,2024-03-18T12:00:00Z,2024-11-30T00:00:00Z,1,1,1,1485367.0,256.5,1710763200,1732924800,258,219,1710820800,1732856400,success,219
kalshi:BTCMAX100-24-OCT31-100000,BTCMAX100-24-OCT31-100000,BTCMAX100-24,KXBTCMAX100,When will Bitcoin hit $100k?,Before November,Before November,Not Before November,"If the price of Bitcoin is Above 99999.99 by Oct 31, 2024 at 7:00 PM ET, then the market resolves to Yes.",When will Bitcoin hit $100k?,In 2024,When will bitcoin hit 100k?,Crypto,annual,finalized,no,2024-03-18T12:00:00Z,2024-10-31T23:00:00Z,1,1,1,35282.0,227.45833333333334,1710763200,1730415600,229,174,1710820800,1730260800,success,174
kalshi:BTCMAX100-24-SEP30-100000,BTCMAX100-24-SEP30-100000,BTCMAX100-24,KXBTCMAX100,When will Bitcoin hit $100k?,Before October,Before October,Not Before October,"If the price of Bitcoin is Above 99999.99 by Sep 30, 2024 at 7:00 PM ET, then the market resolves to Yes.",When will Bitcoin hit $100k?,In 2024,When will bitcoin hit 100k?,Crypto,annual,finalized,no,2024-03-18T12:00:00Z,2024-09-30T23:00:00Z,1,1,1,25847.0,196.45833333333334,1710763200,1727737200,198,153,1710820800,1727668800,success,153
kalshi:BTCMAXM-24APR-74999.99,BTCMAXM-24APR-74999.99,BTCMAXM-24APR,KXBTCMAXM,How {{high_low}} will Bitcoin get this year?,"$75,000","$75,000 or above","Below $75,000","If the price of Bitcoin is above 74999.99 by Apr 30, 2024, then the market resolves to Yes.",How high will Bitcoin get this month?,In April 2024,How high will Bitcoin get this month?,Crypto,monthly,finalized,no,2024-04-01T16:00:00Z,2024-04-30T23:00:00Z,1,1,1,18087.0,29.291666666666668,1711987200,1714518000,31,29,1712030400,1714449600,success,29
kalshi:BTCMAXM-24MAR-74999.99,BTCMAXM-24MAR-74999.99,BTCMAXM-24MAR,KXBTCMAXM,How {{high_low}} will Bitcoin get by {{date}}?,"$75,000","$75,000 or above","Below $75,000","If the price of Bitcoin is Above 74999.99 by March 28, 2024, then the market resolves to Yes.",How high will Bitcoin get this month?,In March 2024,How high will Bitcoin get this month?,Crypto,monthly,finalized,no,2024-03-22T12:00:00Z,,1,1,1,12672.0,6.508622685185185,1711108800,1711671145,8,6,1711166400,1711598400,success,6
kalshi:BTCMAXM-24MAY-64999.99,BTCMAXM-24MAY-64999.99,BTCMAXM-24MAY,KXBTCMAXM,How {{high_low}} will Bitcoin get this year?,"$65,000","$65,000 or above","Below $65,000","If the price of Bitcoin is above 64999.99 by May 31, 2024, then the market resolves to Yes.",How high will Bitcoin get this month?,In May 2024,How high will Bitcoin get this month?,Crypto,monthly,finalized,yes,2024-05-02T14:00:00Z,,1,1,1,14323.0,14.000509259259259,1714658400,1715868044,16,14,1714708800,1715832000,success,14
kalshi:BTCMAXM-24MAY-69999.99,BTCMAXM-24MAY-69999.99,BTCMAXM-24MAY,KXBTCMAXM,How {{high_low}} will Bitcoin get this year?,"$70,000","$70,000 or above","Below $70,000","If the price of Bitcoin is above 69999.99 by May 31, 2024, then the market resolves to Yes.",How high will Bitcoin get this month?,In May 2024,How high will Bitcoin get this month?,Crypto,monthly,finalized,yes,2024-05-02T14:00:00Z,,1,1,1,14061.0,19.059467592592593,1714658400,1716305138,21,19,1714708800,1716264000,success,19
kalshi:BTCMAXM-24MAY-74999.99,BTCMAXM-24MAY-74999.99,BTCMAXM-24MAY,KXBTCMAXM,How {{high_low}} will Bitcoin get this year?,"$75,000","$75,000 or above","Below $75,000","If the price of Bitcoin is above 74999.99 by May 31, 2024, then the market resolves to Yes.",How high will Bitcoin get this month?,In May 2024,How high will Bitcoin get this month?,Crypto,monthly,finalized,no,2024-05-02T14:00:00Z,2024-05-31T23:00:00Z,1,1,1,20126.0,29.375,1714658400,1717196400,31,29,1714708800,1717128000,success,29
kalshi:BTCMAXY-24DEC31-100000,BTCMAXY-24DEC31-100000,BTCMAXY-24DEC31,KXBTCMAXY,How high will Bitcoin get this year?,"$100,000","$100,000 or above","Below $100,000","If the price of Bitcoin is Above 99999.99 by Dec 31, 2024, then the market resolves to Yes.",How high will Bitcoin get this year?,In 2024,How high will Bitcoin get this year?,Crypto,annual,finalized,yes,2024-03-18T12:00:00Z,,1,1,1,274248.0,261.6428472222222,1710763200,1733369142,263,256,1710820800,1733288400,success,256
kalshi:BTCMAXY-24DEC31-75000,BTCMAXY-24DEC31-75000,BTCMAXY-24DEC31,KXBTCMAXY,How high will Bitcoin get this year?,"$75,000","$75,000 or above","Below $75,000","If the price of Bitcoin is Above 74999.99 by Dec 31, 2024, then the market resolves to Yes.",How high will Bitcoin get this year?,In 2024,How high will Bitcoin get this year?,Crypto,annual,finalized,yes,2024-03-18T12:00:00Z,,1,1,1,162162.0,234.2032638888889,1710763200,1730998362,236,233,1710820800,1730955600,success,233
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31,KXBTCMAXY,How high will Bitcoin get this year?,"$80,000","$80,000 or above","Below $80,000","If the price of Bitcoin is Above 79999.99 by Dec 31, 2024, then the market resolves to Yes.",How high will Bitcoin get this year?,In 2024,How high will Bitcoin get this year?,Crypto,annual,finalized,yes,2024-03-18T12:00:00Z,,1,1,1,127773.0,238.1803125,1710763200,1731341979,240,237,1710820800,1731301200,success,237
kalshi:BTCMAXY-24DEC31-90000,BTCMAXY-24DEC31-90000,BTCMAXY-24DEC31,KXBTCMAXY,How high will Bitcoin get this year?,"$90,000","$90,000 or above","Below $90,000","If the price of Bitcoin is Above 89999.99 by Dec 31, 2024, then the market resolves to Yes.",How high will Bitcoin get this year?,In 2024,How high will Bitcoin get this year?,Crypto,annual,finalized,yes,2024-03-18T12:00:00Z,,1,1,1,124124.0,241.12502314814816,1710763200,1731596402,243,239,1710820800,1731560400,success,239
kalshi:KXBTCE-24NOV0616-T76000,KXBTCE-24NOV0616-T76000,KXBTCE-24NOV0616,KXBTCE,"Bitcoin price  on Nov 6, 2024?","$76,000.01 or above","$76,000.01 or above","$76,000.01 or above","If the price of Bitcoin is above 76000 at 4 PM EST on Nov 6, 2024, then the market resolves to Yes.",Bitcoin price day after election?,"On Nov 6, 2024",Election day BTC,Crypto,custom,finalized,yes,2024-10-30T14:00:00Z,2024-11-06T21:00:00Z,1,1,1,55158.0,7.291666666666667,1730296800,1730926800,9,7,1730347200,1730869200,success,7
kalshi:KXBTCMAXM-24-DEC31-104999.99,KXBTCMAXM-24-DEC31-104999.99,KXBTCMAXM-24-DEC31,KXBTCMAXM,How high will Bitcoin get this year?,"$105,000 or above","$105,000 or above","$105,000 or above","If the price of Bitcoin is above 104999.99 by Dec 31, 2024 at 11:59 PM ET, then the market resolves to Yes.",How high will Bitcoin get this month?,In December 2024,How high will Bitcoin get this month?,Crypto,monthly,finalized,yes,2024-12-06T15:00:00Z,,1,1,1,71751.0,9.99795138888889,1733497200,1734361023,11,10,1733547600,1734325200,success,10
kalshi:KXBTCMAXY-25-DEC31-79999.99,KXBTCMAXY-25-DEC31-79999.99,KXBTCMAXY-25,KXBTCMAXY,How high will Bitcoin get this year?,"$80,000 or above","$80,000 or above","$80,000 or above","If the price of Bitcoin is Above 79999.99 by Dec 31, 2025, then the market resolves to Yes.",How high will Bitcoin get in 2025?,In 2025,How high will Bitcoin get this year?,Crypto,annual,finalized,yes,2024-11-05T15:00:00Z,,1,1,1,62115.0,6.055543981481481,1730818800,1731341999,8,6,1730869200,1731301200,success,6
kalshi:KXBTCMAXY-25-DEC31-89999.99,KXBTCMAXY-25-DEC31-89999.99,KXBTCMAXY-25,KXBTCMAXY,How high will Bitcoin get this year?,"$90,000 or above","$90,000 or above","$90,000 or above","If the price of Bitcoin is Above 89999.99 by Dec 31, 2025, then the market resolves to Yes.",How high will Bitcoin get in 2025?,In 2025,How high will Bitcoin get this year?,Crypto,annual,finalized,yes,2024-11-05T15:00:00Z,,1,1,1,62425.0,9.00013888888889,1730818800,1731596412,11,9,1730869200,1731560400,success,9
kalshi:KXBTCMAXY-25-DEC31-99999.99,KXBTCMAXY-25-DEC31-99999.99,KXBTCMAXY-25,KXBTCMAXY,How high will Bitcoin get this year?,"$100,000 or above","$100,000 or above","$100,000 or above","If the price of Bitcoin is Above 99999.99 by Dec 31, 2025, then the market resolves to Yes.",How high will Bitcoin get in 2025?,In 2025,How high will Bitcoin get this year?,Crypto,annual,finalized,yes,2024-11-05T15:00:00Z,,1,1,1,111453.0,29.518113425925925,1730818800,1733369165,31,29,1730869200,1733288400,success,29
