market_id,volume_rank,market_ticker,event_ticker,series_ticker,market_question,market_subtitle,yes_subtitle,no_subtitle,market_rules,event_question,event_subtitle,series_title,series_category,series_frequency,market_status,market_result,open_time,close_time,passes_volume_filter,passes_lifetime_filter,passes_both_filters,volume_fp,lifetime_days,history_start_ts,history_end_ts,expected_daily_rows,received_daily_rows,first_observation_ts,last_observation_ts,download_status,actual_candles_exported,candle_rows,observed_days,price_close_days,quote_mid_days,total_daily_volume,max_open_interest,mean_quote_spread,first_observation,last_observation,last_price_close,last_quote_mid,outcome,candle_coverage_pct,quote_coverage_pct
kalshi:KXGOVFLNOMR-26-JFIS,1,KXGOVFLNOMR-26-JFIS,KXGOVFLNOMR-26,KXGOVFLNOMR,Will James Fishback be the Republican nominee for Governor in Florida?,,James Fishback,James Fishback,"If James Fishback wins the nomination for the Republican Party to contest the 2026 Florida Governorship, then the market resolves to Yes.",Florida Republican Governor nominee?,In 2026,Florida Governor Republican nominee,Elections,custom,finalized,no,2025-11-11 00:00:00+00:00,2026-08-19 00:07:41+00:00,1,1,1,44726603.31,281.00533564814816,1762819200,1787098061,283,281,1762837200.0,1787025600.0,success,281,281,281,277,281,29722129.990000002,22378116.15,0.010441281138790037,2025-11-11 00:00:00+00:00,2026-08-18 00:00:00+00:00,0.013,0.0125,0,99.29328621908127,100.0
kalshi:KXFEDDECISION-26JUL-H0,2,KXFEDDECISION-26JUL-H0,KXFEDDECISION-26JUL,KXFEDDECISION,Will the Federal Reserve Hike rates by 0bps at their July 2026 meeting?,Hike 0bps,Fed maintains rate,Fed maintains rate,"If the Federal Reserve does a Hike of 0bps on July 29, 2026, then the market resolves to Yes.",Fed decision in July?,"On Jul 29, 2026",Fed meeting,Economics,custom,finalized,yes,2025-09-29 14:00:00+00:00,2026-07-29 17:59:00+00:00,1,1,1,23802367.03,303.1659722222222,1759154400,1785347940,305,293,1759204800.0,1785297600.0,success,293,293,293,146,293,16919657.07,10387692.23,0.05686006825938565,2025-09-30 00:00:00+00:00,2026-07-29 00:00:00+00:00,0.75,0.745,1,96.06557377049181,100.0
kalshi:KXSENATEMID-26-HSTE,3,KXSENATEMID-26-HSTE,KXSENATEMID-26,KXSENATEMID,Will Haley Stevens be the Democratic nominee for the Senate in Michigan?,,Haley Stevens,Haley Stevens,"If Haley Stevens wins the nomination for the Democratic Party to contest the 2026 Class II Michigan Senate seat, then the market resolves to Yes.",Michigan Democratic Senate nominee?,In 2026,MID,Elections,one_off,finalized,no,2025-03-28 14:00:00+00:00,2026-08-05 14:02:38+00:00,1,1,1,20543911.96,495.0018287037037,1743170400,1785938558,497,476,1743220800.0,1785902400.0,success,476,476,476,324,476,16409710.219999999,6842145.2,0.04529621848739496,2025-03-29 00:00:00+00:00,2026-08-05 00:00:00+00:00,0.055,0.0565,0,95.77464788732394,100.0
kalshi:KXFEDDECISION-26JUL-H25,4,KXFEDDECISION-26JUL-H25,KXFEDDECISION-26JUL,KXFEDDECISION,Will the Federal Reserve Hike rates by 25bps at their July 2026 meeting?,Hike 25bps,Hike 25bps,Hike 25bps,"If the Federal Reserve does a Hike of 25bps on July 29, 2026, then the market resolves to Yes.",Fed decision in July?,"On Jul 29, 2026",Fed meeting,Economics,custom,finalized,no,2025-09-29 14:00:00+00:00,2026-07-29 17:59:00+00:00,1,1,1,19713687.51,303.1659722222222,1759154400,1785347940,305,284,1759204800.0,1785297600.0,success,284,284,284,114,284,16107827.48,10135476.46,0.03429577464788732,2025-09-30 00:00:00+00:00,2026-07-29 00:00:00+00:00,0.26,0.255,0,93.11475409836065,100.0
kalshi:KXFEDDECISION-26JUL-H26,5,KXFEDDECISION-26JUL-H26,KXFEDDECISION-26JUL,KXFEDDECISION,Will the Federal Reserve Hike rates by >25bps at their July 2026 meeting?,Hike >25bps,Hike >25bps,Hike >25bps,"If the Federal Reserve does a Hike of   25bps on July 29, 2026, then the market resolves to Yes.",Fed decision in July?,"On Jul 29, 2026",Fed meeting,Economics,custom,finalized,no,2025-09-29 14:00:00+00:00,2026-07-29 17:59:00+00:00,1,1,1,15632302.75,303.1659722222222,1759154400,1785347940,305,268,1759204800.0,1785297600.0,success,268,268,268,75,268,9921370.7,9022478.36,0.03462686567164179,2025-09-30 00:00:00+00:00,2026-07-29 00:00:00+00:00,0.01,0.005,0,87.8688524590164,100.0
kalshi:KXTRUMPUFC-26JUL-DJT,6,KXTRUMPUFC-26JUL-DJT,KXTRUMPUFC-26JUL,KXTRUMPUFC,Will Donald Trump attend UFC 329?,Yes,Yes,Yes,"If Donald Trump attends UFC 329, then the market resolves to Yes.",Will Donald Trump attend UFC 329?,"On Jul 11, 2026",Trump attend another UFC event this year,Politics,one_off,finalized,no,2026-05-09 04:00:00+00:00,2026-07-12 14:00:00+00:00,1,1,1,13117291.59,64.41666666666667,1778299200,1783864800,66,64,1778385600.0,1783828800.0,success,64,64,64,64,64,12895498.52,10250583.07,0.014218749999999999,2026-05-10 00:00:00+00:00,2026-07-12 00:00:00+00:00,0.01,0.005,0,96.96969696969697,100.0
kalshi:KXGOVFLNOMR-26-BD,7,KXGOVFLNOMR-26-BD,KXGOVFLNOMR-26,KXGOVFLNOMR,Will Byron Donalds be the Republican nominee for Governor in Florida?,,Byron Donalds,Byron Donalds,"If Byron Donalds wins the nomination for the Republican Party to contest the 2026 Florida Governorship, then the market resolves to Yes.",Florida Republican Governor nominee?,In 2026,Florida Governor Republican nominee,Elections,custom,finalized,yes,2025-01-16 18:00:00+00:00,2026-08-19 00:07:41+00:00,1,1,1,10760634.15,579.2553356481482,1737050400,1787098061,581,561,1737090000.0,1787025600.0,success,561,561,561,439,561,7354555.59,5779476.07,0.03815329768270945,2025-01-17 00:00:00+00:00,2026-08-18 00:00:00+00:00,0.984,0.9844999999999999,1,96.55765920826161,100.0
kalshi:KXGOVFLNOMR-26-JCOL,8,KXGOVFLNOMR-26-JCOL,KXGOVFLNOMR-26,KXGOVFLNOMR,Will Jay Collins be the Republican nominee for Governor in Florida?,,Jay Collins,Jay Collins,"If Jay Collins wins the nomination for the Republican Party to contest the 2026 Florida Governorship, then the market resolves to Yes.",Florida Republican Governor nominee?,In 2026,Florida Governor Republican nominee,Elections,custom,finalized,no,2025-09-19 14:00:14+00:00,2026-08-19 00:07:41+00:00,1,1,1,10496583.01,333.4218402777778,1758290414,1787098061,335,333,1758340800.0,1787025600.0,success,333,333,333,245,333,7207063.52,5634379.95,0.04508708708708709,2025-09-20 00:00:00+00:00,2026-08-18 00:00:00+00:00,0.003,0.0025,0,99.40298507462687,100.0
kalshi:KXSENATEMID-26-AELS,9,KXSENATEMID-26-AELS,KXSENATEMID-26,KXSENATEMID,Will Abdul El-Sayed be the Democratic nominee for the Senate in Michigan?,,Abdul El-Sayed,Abdul El-Sayed,"If Abdul El-Sayed wins the nomination for the Democratic Party to contest the 2026 Class II Michigan Senate seat, then the market resolves to Yes.",Michigan Democratic Senate nominee?,In 2026,MID,Elections,one_off,finalized,yes,2025-03-28 14:00:00+00:00,2026-08-05 14:02:38+00:00,1,1,1,9935560.26,495.0018287037037,1743170400,1785938558,497,474,1743220800.0,1785902400.0,success,474,474,474,323,474,8727117.26,3594917.44,0.04282489451476793,2025-03-29 00:00:00+00:00,2026-08-05 00:00:00+00:00,0.942,0.9424999999999999,1,95.37223340040241,100.0
kalshi:KXTRUMPATTEND,10,KXTRUMPATTEND,KXTRUMPATTEND,KXTRUMPATTEND,Will Donald J. Trump attend The 2026 FIFA World Cup Final?,Yes,Yes,Yes,"If Donald J. Trump attends The 2026 FIFA World Cup Final, then the market resolves to Yes.",Will Trump attend The World Cup Final?,"On Jan 9, 2026",Will Trump attend event,Politics,one_off,finalized,yes,2026-01-09 15:00:00+00:00,2026-07-19 19:06:04+00:00,1,1,1,9726106.38,191.17087962962964,1767970800,1784487964,193,191,1768021200.0,1784433600.0,success,191,191,191,189,191,7229280.13,4246453.26,0.03224607329842932,2026-01-10 00:00:00+00:00,2026-07-19 00:00:00+00:00,0.973,0.9724999999999999,1,98.96373056994818,100.0
