market_id,market_ticker,event_ticker,series_ticker,market_question,market_subtitle,yes_subtitle,no_subtitle,market_rules,event_question,event_subtitle,series_title,series_category,series_frequency,market_status,market_result,open_time,close_time,passes_volume_filter,passes_lifetime_filter,passes_both_filters,volume_fp,lifetime_days,history_start_ts,history_end_ts,expected_daily_rows,received_daily_rows,first_observation_ts,last_observation_ts,download_status,actual_candles_exported
kalshi:BTCATH-24-APR30-73265.12,BTCATH-24-APR30-73265.12,BTCATH-24,KXBTCATH,How {{high_low}} will Bitcoin get this year?,April 2024,April 2024,April 2024,"If the price of Bitcoin is above 73265.12 by Apr 30, 2024, then the market resolves to Yes.",When will Bitcoin hit a new all-time high?,All-time high,BTC ATH,Crypto,one_off,finalized,no,2024-04-10T12:00:00Z,2024-04-30T23:00:00Z,0,1,0,7124.0,20.458333333333332,1712750400,1714518000,22,20,1712808000,1714449600,success,20
kalshi:BTCATH-24-DEC31-73265.12,BTCATH-24-DEC31-73265.12,BTCATH-24,KXBTCATH,How {{high_low}} will Bitcoin get this year?,This year,This year,This year,"If the price of Bitcoin is above 73265.12 by Dec 31, 2024, then the market resolves to Yes.",When will Bitcoin hit a new all-time high?,All-time high,BTC ATH,Crypto,one_off,finalized,yes,2024-04-10T12:00:00Z,,1,1,1,73664.0,211.20525462962962,1712750400,1730998534,213,201,1712808000,1730955600,success,201
kalshi:BTCMAX100-24-APR30-100000,BTCMAX100-24-APR30-100000,BTCMAX100-24,KXBTCMAX100,When will Bitcoin hit $100k?,Before May,Before May,Not Before May,"If the price of Bitcoin is Above 99999.99 by Apr 30, 2024 at 7:00 PM ET, then the market resolves to Yes.",When will Bitcoin hit $100k?,In 2024,When will bitcoin hit 100k?,Crypto,annual,finalized,no,2024-03-18T12:00:00Z,2024-04-30T23:00:00Z,0,1,0,7656.0,43.458333333333336,1710763200,1714518000,45,30,1710820800,1714276800,success,30
kalshi:BTCMAX100-24-AUG30-100000,BTCMAX100-24-AUG30-100000,BTCMAX100-24,KXBTCMAX100,When will Bitcoin hit $100k?,Before September:: Last day: 08/30/2024 7pm,Before September,Not Before September,"If the price of Bitcoin is Above 99999.99 by Aug 30, 2024 at 7:00 PM ET, then the market resolves to Yes.",When will Bitcoin hit $100k?,In 2024,When will bitcoin hit 100k?,Crypto,annual,finalized,no,2024-03-18T12:00:00Z,2024-08-30T23:00:00Z,0,1,0,5165.0,165.45833333333334,1710763200,1725058800,167,124,1710820800,1724472000,success,124
kalshi:BTCMAX100-24-DEC31-100000,BTCMAX100-24-DEC31-100000,BTCMAX100-24,KXBTCMAX100,When will Bitcoin hit $100k?,Before Dec 31st at 7pm ET,Before Dec 31st at 7pm ET,Not Before January,"If the price of Bitcoin is Above 99999.99 by Dec 31, 2024 at 7:00 PM ET, then the market resolves to Yes.",When will Bitcoin hit $100k?,In 2024,When will bitcoin hit 100k?,Crypto,annual,finalized,yes,2024-03-18T12:00:00Z,,1,1,1,1230309.0,261.64266203703704,1710763200,1733369126,263,234,1710820800,1733288400,success,234
kalshi:BTCMAX100-24-JUL31-100000,BTCMAX100-24-JUL31-100000,BTCMAX100-24,KXBTCMAX100,When will Bitcoin hit $100k?,Before August,Before August,Not Before August,"If the price of Bitcoin is Above 99999.99 by Jul 31, 2024 at 7:00 PM ET, then the market resolves to Yes.",When will Bitcoin hit $100k?,In 2024,When will bitcoin hit 100k?,Crypto,annual,finalized,no,2024-03-18T12:00:00Z,2024-07-31T23:00:00Z,1,1,1,18646.0,135.45833333333334,1710763200,1722466800,137,108,1710820800,1721707200,success,108
kalshi:BTCMAX100-24-JUN28-100000,BTCMAX100-24-JUN28-100000,BTCMAX100-24,KXBTCMAX100,When will Bitcoin hit $100k?,Before July:: Last day: 06/28/2024 7pm,Before July,Not Before July,"If the price of Bitcoin is Above 99999.99 by Jun 28, 2024 at 7:00 PM ET, then the market resolves to Yes.",When will Bitcoin hit $100k?,In 2024,When will bitcoin hit 100k?,Crypto,annual,finalized,no,2024-03-18T12:00:00Z,2024-06-28T23:00:00Z,1,1,1,23929.0,102.45833333333333,1710763200,1719615600,104,79,1710820800,1719547200,success,79
kalshi:BTCMAX100-24-MAR28-100000,BTCMAX100-24-MAR28-100000,BTCMAX100-24,KXBTCMAX100,When will Bitcoin hit $100k?,Before April:: Last day: 03/28/2024 7pm,Before April,Not Before April,"If the price of Bitcoin is Above 99999.99 by Mar 28, 2024 at 7:00 PM ET, then the market resolves to Yes.",When will Bitcoin hit $100k?,In 2024,When will bitcoin hit 100k?,Crypto,annual,finalized,no,2024-03-18T12:00:00Z,2024-03-28T23:00:00Z,0,1,0,1553.0,10.458333333333334,1710763200,1711666800,12,9,1710820800,1711598400,success,9
kalshi:BTCMAX100-24-MAY31-100000,BTCMAX100-24-MAY31-100000,BTCMAX100-24,KXBTCMAX100,When will Bitcoin hit $100k?,Before June,Before June,Not Before June,"If the price of Bitcoin is Above 99999.99 by May 31, 2024 at 7:00 PM ET, then the market resolves to Yes.",When will Bitcoin hit $100k?,In 2024,When will bitcoin hit 100k?,Crypto,annual,finalized,no,2024-03-18T12:00:00Z,2024-05-31T23:00:00Z,1,1,1,53075.0,74.45833333333333,1710763200,1717196400,76,55,1710820800,1717128000,success,55
kalshi:BTCMAX100-24-NOV29-100000,BTCMAX100-24-NOV29-100000,BTCMAX100-24,KXBTCMAX100,When will Bitcoin hit $100k?,Before Nov 29th at 7pm ET,Before Nov 29th at 7pm ET,Not Before December,"If the price of Bitcoin is Above 99999.99 by Nov 29, 2024 at 7:00 PM ET, then the market resolves to Yes.",When will Bitcoin hit $100k?,In 2024,When will bitcoin hit 100k?,Crypto,annual,finalized,no,2024-03-18T12:00:00Z,2024-11-30T00:00:00Z,1,1,1,1485367.0,256.5,1710763200,1732924800,258,219,1710820800,1732856400,success,219
